;author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
3143;Homeapp;real_estate_agent;https://mytishchi.cian.ru/sale/flat/274548090/;Москва_и_др.;sale;flat;9;9;5;134.2;140834;18900000;2004;86.2;10.4;79660531406;;;;
3144;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/274837409/;Москва_и_др.;sale;flat;20;38;5;217.0;668202;145000000;2006;124.0;23.0;79660531406;Раменки;Мосфильмовская;Минская;Воробьевы Горы
3145;SkyLine Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/283353712/;Москва_и_др.;sale;flat;6;8;5;116.2;720000;83664000;1961;-1.0;-1.0;79099375299;Хамовники;Новодевичий проезд;Спортивная;
3146;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954110/;Москва_и_др.;sale;flat;3;5;5;187.0;390106;72950000;1912;126.0;22.0;79672717492;Тверской;Большая Дмитровка;Чеховская;
3147;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/266889608/;Москва_и_др.;sale;flat;7;7;5;246.0;2418699;595000000;2003;170.0;16.0;79660531406;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо
3148;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281955122/;Москва_и_др.;sale;flat;3;17;5;145.0;255172;37000000;2004;-1.0;15.0;79623646189;Северное Бутово;Грина;Бульвар Дмитрия Донского;
3149;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954986/;Москва_и_др.;sale;flat;2;4;5;137.0;635036;87000000;1890;-1.0;10.0;79623609946;Басманный;Хохловский переулок;Китай-город;
3150;ID 73190932;unknown;https://www.cian.ru/sale/flat/286560719/;Москва_и_др.;sale;flat;2;5;5;146.0;945205;138000000;2002;93.0;14.0;79660471265;Хамовники;Остоженка;Парк Культуры;
3151;ID 91077120;unknown;https://www.cian.ru/sale/flat/287254462/;Москва_и_др.;sale;flat;4;7;5;235.0;829787;195000000;2004;160.0;-1.0;79651098988;Хамовники;2-й Обыденский переулок;Кропоткинская;
3152;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281953933/;Москва_и_др.;sale;flat;13;23;5;198.0;428787;84900000;2000;117.5;16.2;79684616855;Гагаринский;Ломоносовский проспект;Университет;
3153;Ashtons International Realty;real_estate_agent;https://www.cian.ru/sale/flat/279028894/;Москва_и_др.;sale;flat;13;23;5;198.0;428787;84900000;2000;-1.0;-1.0;79660592246;Гагаринский;Ломоносовский проспект;Университет;
3154;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954055/;Москва_и_др.;sale;flat;27;31;5;212.0;537735;113999999;2008;126.5;8.4;79670658618;Очаково-Матвеевское;Нежинская;Давыдково;Кутузовская Ривьера
3155;SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/280361904/;Москва_и_др.;sale;flat;3;16;5;174.0;1137931;198000000;2022;131.0;15.0;79854414287;Хамовники;Усачева;Спортивная;Садовые кварталы
3156;CENTURY 21 Перспектива;real_estate_agent;https://balashikha.cian.ru/sale/flat/286444603/;Москва_и_др.;sale;flat;1;5;5;81.4;128378;10450000;1963;50.0;14.0;79165687258;;;Новогиреево;
3157;Качанова и партнеры;real_estate_agent;https://www.cian.ru/sale/flat/286767053/;Москва_и_др.;sale;flat;5;17;5;124.7;280665;34999000;1999;85.6;19.5;79169451501;Филевский парк;Филевский бульвар;Фили;
3158;Хороший Дом;real_estate_agent;https://www.cian.ru/sale/flat/270180820/;Москва_и_др.;sale;flat;11;16;5;190.0;247368;47000000;2003;120.1;19.3;79651596470;Силино;Зеленоград;;
3159;Ashtons International Realty;real_estate_agent;https://www.cian.ru/sale/flat/277271284/;Москва_и_др.;sale;flat;5;28;5;223.0;336322;75000000;2009;-1.0;-1.0;79660592246;Ломоносовский;Архитектора Власова;Профсоюзная;Академдом
3160;TROIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/269889356/;Москва_и_др.;sale;flat;6;6;5;293.3;954653;280000000;2006;-1.0;-1.0;79858957217;Очаково-Матвеевское;Староволынская;Минская;Ближняя дача
3161;ОГРК;real_estate_agent;https://istra.cian.ru/sale/flat/277272104/;Москва_и_др.;sale;flat;1;5;5;232.6;40842;9500000;-1;-1.0;12.0;79629377129;;;;
3162;Ирина Палич;realtor;https://www.cian.ru/sale/flat/287676457/;Москва_и_др.;sale;flat;5;8;5;171.0;438596;75000000;2005;117.0;12.0;79099970917;Кунцево;Ельнинская;Молодёжная;Изумрудная долина I
3163;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285866560/;Москва_и_др.;sale;flat;3;17;5;216.0;504629;109000000;2001;-1.0;-1.0;79850451662;Мещанский;Слесарный переулок;Проспект Мира;
3164;ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/286548407/;Москва_и_др.;sale;flat;14;15;5;310.0;264516;82000000;1999;146.0;41.0;79660593325;Обручевский;Архитектора Власова;Новые Черёмушки;
3165;ID 16716291;realtor;https://www.cian.ru/sale/flat/287593330/;Москва_и_др.;sale;flat;14;37;5;238.9;519882;124200000;2008;201.9;28.1;79858232641;Сокольники;Русаковская;Сокольники;Дом в Сокольниках
3166;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282340393/;Москва_и_др.;sale;flat;23;26;5;356.9;308209;110000000;2001;-1.0;-1.0;79660528245;Гагаринский;Губкина;Академическая;
3167;Валентина Чалова;realtor;https://odintsovo.cian.ru/sale/flat/272495254/;Москва_и_др.;sale;flat;6;6;5;178.3;195849;34920000;-1;150.0;20.0;79067883452;;;;
3168;Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/278611151/;Москва_и_др.;sale;flat;12;22;5;142.0;288732;41000000;2020;87.9;14.4;79152590741;Покровское-Стрешнево;Волоколамское шоссе;Спартак;Город на Реке Тушино-2018
3169;One Life;real_estate_agent;https://www.cian.ru/sale/flat/287261936/;Москва_и_др.;sale;flat;13;24;5;133.6;389221;52000000;2006;85.3;-1.0;79850631487;Хорошевский;проезд Березовой Рощи;ЦСКА;Гранд-парк
3170;Алексей Фильчук;realtor;https://www.cian.ru/sale/flat/286093431/;Москва_и_др.;sale;flat;13;19;5;150.0;406666;61000000;2005;98.0;19.0;79651009013;Хорошево-Мневники;проспект Маршала Жукова;Народное Ополчение;Wellton park
3171;ILIAZ PARTNERS;real_estate_agent;https://www.cian.ru/sale/flat/282409216/;Москва_и_др.;sale;flat;37;48;5;164.4;389294;64000000;2022;-1.0;-1.0;79175726705;Хорошево-Мневники;Народного Ополчения;Народное Ополчение;Wellton Towers
3172;ID 68903;unknown;https://www.cian.ru/sale/flat/283383158/;Москва_и_др.;sale;flat;5;20;5;168.0;386904;65000000;2005;122.0;38.0;79623659606;Черемушки;Новочеремушкинская;Профсоюзная;Адмирал
3173;Liberty Estate;real_estate_agent;https://www.cian.ru/sale/flat/284074968/;Москва_и_др.;sale;flat;16;22;5;153.0;424183;64900000;2022;83.0;12.0;79162597550;Левобережный;Ленинградское шоссе;Беломорская;Aquatoria
3174;Mosaic Realty;real_estate_agent;https://www.cian.ru/sale/flat/282662152/;Москва_и_др.;sale;flat;2;10;5;141.3;509554;72000000;1981;80.0;20.0;79661865523;Арбат;1-й Смоленский переулок;Смоленская;
3175;AvisRealty;real_estate_agent;https://www.cian.ru/sale/flat/274406354/;Москва_и_др.;sale;flat;20;20;5;246.2;300357;73948103;2019;122.1;17.0;79057190239;Обручевский;Эльдара Рязанова;Калужская;Квартал 38А
3176;ID 17350;realtor;https://www.cian.ru/sale/flat/286081463/;Москва_и_др.;sale;flat;2;4;5;185.0;513513;95000000;1875;114.0;21.0;79167414304;Тверской;Петровка;Трубная;
3177;GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/275561451/;Москва_и_др.;sale;flat;5;5;5;120.0;793071;95168520;1910;-1.0;20.0;79104328908;Пресненский;Малая Бронная;Тверская;
3178;GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284292635/;Москва_и_др.;sale;flat;4;4;5;218.0;528541;115222000;2017;-1.0;40.0;79660641282;Басманный;Подсосенский переулок;Курская;Клубный дом il Ricco
3179;Партнер Эстейт;real_estate_agent;https://www.cian.ru/sale/flat/284338636/;Москва_и_др.;sale;flat;23;57;5;206.0;631067;130000000;2006;-1.0;-1.0;79057292934;Хорошевский;Чапаевский переулок;Сокол;Триумф-Палас
3180;Mosaic Realty;real_estate_agent;https://www.cian.ru/sale/flat/279231045/;Москва_и_др.;sale;flat;5;9;5;200.5;1197007;240000000;2007;99.0;26.6;79661865523;Якиманка;Большая Якиманка;Полянка;Коперник
3181;ЕГСН Продажа;real_estate_agent;https://lytkarino.cian.ru/sale/flat/281335185/;Москва_и_др.;sale;flat;1;5;5;121.0;89669;10850000;1953;83.3;7.2;79099977232;;;Котельники;
3182;СОЗВЕЗДИЕ Бюро Недвижимости;real_estate_agent;https://odintsovo.cian.ru/sale/flat/277424201/;Москва_и_др.;sale;flat;3;20;5;86.0;143604;12350000;2014;-1.0;-1.0;79607131758;;;Одинцово;
3183;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954323/;Москва_и_др.;sale;flat;25;47;5;205.2;625079;128266400;2006;90.0;31.7;79660503540;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
3184;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281955414/;Москва_и_др.;sale;flat;2;7;5;161.6;1298151;209781300;-1;114.8;14.0;79854291351;Арбат;Малая Молчановка;Арбатская;
3185;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281955407/;Москва_и_др.;sale;flat;4;7;5;252.0;1699437;428258340;2003;-1.0;25.0;79856671227;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо
3186;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927103/;Москва_и_др.;sale;flat;4;7;5;366.0;1533239;561165500;2015;-1.0;-1.0;79660643274;Хамовники;Ефремова;Спортивная;Knightsbridge Private Park
3187;BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/267336080/;Москва_и_др.;sale;flat;12;12;5;303.0;2116607;641332000;2014;163.0;41.8;79859783873;Хамовники;Ефремова;;Садовые кварталы
3188;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281955409/;Москва_и_др.;sale;flat;7;7;5;245.6;2774492;681415250;2003;-1.0;25.0;79652692944;Хамовники;Большой Левшинский переулок;Смоленская;Дворянское гнездо
3189;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/283850858/;Москва_и_др.;sale;flat;12;16;5;152.6;674110;102869239;2017;-1.0;-1.0;79856118802;Раменки;Воробьевское шоссе;Студенческая;Воробьёв Дом
3190;Остров Фантазий;real_estate_agent;https://www.cian.ru/sale/flat/271664753/;Москва_и_др.;sale;flat;4;4;5;214.0;514018;110000000;2004;-1.0;-1.0;79623615215;Крылатское;Островной проезд;Крылатское;Остров Фантазий
3191;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279177656/;Москва_и_др.;sale;flat;4;4;5;153.2;378590;58000000;1917;110.0;14.4;79660531406;Басманный;Новая Басманная;Комсомольская;
3192;Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/279607903/;Москва_и_др.;sale;flat;4;9;5;136.0;477941;65000000;1958;100.0;20.0;79660560789;Дорогомилово;Студенческая;Кутузовская;
3193;Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/283550648/;Москва_и_др.;sale;flat;4;4;5;121.0;545454;66000000;1931;91.0;15.0;79660626992;Арбат;Новинский бульвар;Смоленская;
3194;ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/281706524/;Москва_и_др.;sale;flat;6;51;5;100.0;660000;66000000;2023;64.0;10.0;79645953945;Пресненский;Шмитовский проезд;Шелепиха;Headliner
3195;SPENСER ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/285366217/;Москва_и_др.;sale;flat;4;9;5;136.0;507352;69000000;1958;-1.0;10.0;79859629923;Дорогомилово;Студенческая;Кутузовская;
3196;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/283353480/;Москва_и_др.;sale;flat;6;51;5;100.0;700000;70000000;2023;-1.0;-1.0;79154381489;Пресненский;Шмитовский проезд;Шелепиха;Headliner
3197;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/283353478/;Москва_и_др.;sale;flat;15;35;5;115.0;669565;77000000;-1;-1.0;-1.0;79154381489;Пресненский;Шмитовский проезд;Шелепиха;Headliner
3198;SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/285600221/;Москва_и_др.;sale;flat;14;26;5;145.0;563448;81700000;2021;90.0;20.0;79854414287;Очаково-Матвеевское;Нежинская;Минская;Городские резиденции SPIRES
3199;ID 17134371;real_estate_agent;https://www.cian.ru/sale/flat/279207155/;Москва_и_др.;sale;flat;21;21;5;302.4;340000;102816000;2007;151.5;12.2;79660507616;Сокольники;проезд Попов;Электрозаводская;
3200;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285431183/;Москва_и_др.;sale;flat;3;6;5;222.4;494604;110000000;1914;137.9;-1.0;79162607353;Басманный;Солянка;Китай-город;
3201;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/280737466/;Москва_и_др.;sale;flat;46;53;5;164.0;701219;115000000;2012;127.2;-1.0;79154381489;Раменки;Мосфильмовская;Киевская;Дом на Мосфильмовской
3202;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954670/;Москва_и_др.;sale;flat;3;6;5;195.1;743208;145000000;1915;121.0;15.0;79660593421;Басманный;переулок Огородная Слобода;Чистые пруды;
3203;Ashtons International Realty;real_estate_agent;https://www.cian.ru/sale/flat/284807164/;Москва_и_др.;sale;flat;8;9;5;229.0;672489;154000000;2001;-1.0;-1.0;79660592246;Якиманка;2-й Казачий переулок;Полянка;
3204;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281955357/;Москва_и_др.;sale;flat;8;9;5;229.0;672489;154000000;2001;136.0;14.0;79652170541;Якиманка;2-й Казачий переулок;Полянка;
3205;Ashtons International Realty;real_estate_agent;https://www.cian.ru/sale/flat/280794581/;Москва_и_др.;sale;flat;2;3;5;220.0;704545;155000000;1997;-1.0;-1.0;79660592246;Хамовники;Гагаринский переулок;Кропоткинская;
3206;ID 73415339;realtor;https://www.cian.ru/sale/flat/287095199/;Москва_и_др.;sale;flat;9;15;5;205.0;995121;204000000;2019;-1.0;-1.0;79167248414;Хамовники;Усачева;Спортивная;Садовые кварталы
3207;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/285223261/;Москва_и_др.;sale;flat;2;14;5;245.3;1000000;245300000;2004;122.5;-1.0;79660639407;Пресненский;переулок Капранова;Краснопресненская;Park House
3208;SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/283641307/;Москва_и_др.;sale;flat;16;16;5;210.2;1213130;255000000;2021;122.0;15.0;79854414287;Хамовники;Усачева;Спортивная;Садовые кварталы
3209;Selenahome;real_estate_agent;https://www.cian.ru/sale/flat/278179405/;Москва_и_др.;sale;flat;3;8;5;240.0;1541666;370000000;2009;170.0;25.0;79153237626;Хамовники;2-й Зачатьевский переулок;Парк Культуры;Особняк в Зачатьевском переулке
3210;Олег Токарь;realtor;https://vidnoye.cian.ru/sale/flat/287690260/;Москва_и_др.;sale;flat;8;9;5;84.1;191438;16100000;2017;54.8;7.4;79850050114;;;;
3211;Виктория Амбарцумян;realtor;https://www.cian.ru/sale/flat/287548657/;Москва_и_др.;sale;flat;3;5;5;110.0;527272;58000000;1917;80.0;11.0;79660471976;Тверской;3-я Тверская-Ямская;Маяковская;
3212;ID 129432;realtor;https://www.cian.ru/sale/flat/287355428/;Москва_и_др.;sale;flat;22;32;5;189.0;476190;89999995;2011;102.0;12.0;79680122606;Черемушки;Наметкина;Зюзино;Розмарин
3213;ID 91077120;unknown;https://www.cian.ru/sale/flat/287488251/;Москва_и_др.;sale;flat;6;6;5;200.0;465000;93000000;2002;130.0;20.0;79651098988;Хамовники;1-й Обыденский переулок;Кропоткинская;
3214;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927124/;Москва_и_др.;sale;flat;3;10;5;305.0;1049180;320000000;2009;-1.0;-1.0;79660643274;Басманный;Казарменный переулок;Чистые пруды;Дом на Покровском бульваре
3215;ID 17134371;real_estate_agent;https://www.cian.ru/sale/flat/279207545/;Москва_и_др.;sale;flat;21;21;5;344.5;330000;113685000;2007;-1.0;-1.0;79660507616;Сокольники;проезд Попов;Электрозаводская;
3216;ID 99875458;unknown;https://www.cian.ru/sale/flat/284316353/;Москва_и_др.;sale;flat;10;11;5;217.3;860101;186900000;2020;-1.0;35.9;79661907850;Дорогомилово;Кутузовский проспект;Киевская;Кутузовский XII
3217;Homeapp;real_estate_agent;https://khimki.cian.ru/sale/flat/280409746/;Москва_и_др.;sale;flat;2;4;5;210.0;271423;56999000;-1;108.0;15.0;79660531406;;;Планерная;
3218;BEATRIX;real_estate_agent;https://www.cian.ru/sale/flat/262446724/;Москва_и_др.;sale;flat;5;5;5;119.0;808401;96199800;1910;79.0;7.0;79645530671;Пресненский;Малая Бронная;Тверская;
3219;Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/286662789/;Москва_и_др.;sale;flat;6;24;5;177.0;508474;90000000;2000;90.0;25.0;79660560789;Раменки;Улофа Пальме;Ломоносовский проспект;
3220;ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/276268323/;Москва_и_др.;sale;flat;1;10;5;88.6;160835;14250000;1969;61.7;6.6;79645953945;Чертаново Северное;Чертановская;Южная;
3221;Mr. Franky Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/282779956/;Москва_и_др.;sale;flat;10;11;5;217.3;860101;186900000;2020;-1.0;-1.0;79651097527;Дорогомилово;Кутузовский проспект;;Кутузовский XII
3222;ЦеНтр ПИК;real_estate_agent;https://www.cian.ru/sale/flat/282702304/;Москва_и_др.;sale;flat;14;14;5;400.0;575000;230000000;2000;230.0;40.0;79645953945;Пресненский;Климашкина;Улица 1905 года;Климашкина 19
3223;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/279111683/;Москва_и_др.;sale;flat;7;25;5;128.0;609375;78000000;2021;77.0;10.0;79660531406;Очаково-Матвеевское;Нежинская;Пионерская;Городские резиденции SPIRES
3224;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954707/;Москва_и_др.;sale;flat;1;9;5;88.0;161931;14250000;1969;61.7;6.6;79660613042;Чертаново Северное;Чертановская;Южная;
3225;Ashtons International Realty;real_estate_agent;https://www.cian.ru/sale/flat/222115846/;Москва_и_др.;sale;flat;5;10;5;300.0;716666;215000000;2005;200.0;30.0;79660592246;Пресненский;Климашкина;Улица 1905 года;Панорама
3226;Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/278557379/;Москва_и_др.;sale;flat;5;8;5;129.0;697674;90000000;1902;67.7;20.0;79152590741;Тверской;Тверская;Маяковская;
3227;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927097/;Москва_и_др.;sale;flat;3;8;5;280.0;720210;201658830;-1;-1.0;-1.0;79660643274;Басманный;Подсосенский переулок;Чкаловская;Резиденция Чистые Пруды
3228;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927190/;Москва_и_др.;sale;flat;2;4;5;343.0;701164;240499500;2003;-1.0;-1.0;79660643274;Крылатское;Островной проезд;Крылатское;Остров Фантазий
3229;Наталия Мельниченко;realtor;https://www.cian.ru/sale/flat/284544597/;Москва_и_др.;sale;flat;6;10;5;355.0;1340401;475842600;2007;-1.0;-1.0;79660472529;Якиманка;Малая Полянка;Полянка;Онегин
3230;Римарком Владис;real_estate_agent;https://www.cian.ru/sale/flat/283247837/;Москва_и_др.;sale;flat;5;6;5;191.6;130480;24999999;1997;144.8;14.3;79660562392;;;Филатов Луг;
3231;Mansion1;real_estate_agent;https://odintsovo.cian.ru/sale/flat/285558359/;Москва_и_др.;sale;flat;2;22;5;187.3;259476;48600000;2010;-1.0;-1.0;79150907006;;;;
3232;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281953864/;Москва_и_др.;sale;flat;23;25;5;260.0;288461;75000000;2003;-1.0;8.0;79104775082;Пресненский;3-я Красногвардейская;Тестовская;Трианон
3233;Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/281954671/;Москва_и_др.;sale;flat;4;4;5;213.6;514981;110000000;2004;123.0;46.0;79660593454;Крылатское;Островной проезд;Крылатское;Остров Фантазий
3234;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/227630866/;Москва_и_др.;sale;flat;4;10;5;200.0;787500;157500000;2013;-1.0;-1.0;79104436936;Тверской;Фадеева;Новослободская;Итальянский Квартал
3235;Метриум-Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/282341935/;Москва_и_др.;sale;flat;10;10;5;193.3;900000;173970000;2019;-1.0;-1.0;79660528245;Тверской;Палиха;Менделеевская;Клубный дом Maison Rouge
3236;Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280520524/;Москва_и_др.;sale;flat;1;2;5;237.0;1265822;300000000;-1;103.0;17.0;79660531406;Тверской;Долгоруковская;Новослободская;Cameo Moscow Villas
3237;Vesco Realty;real_estate_agent;https://www.cian.ru/sale/flat/278927088/;Москва_и_др.;sale;flat;8;9;5;256.0;1167968;299000000;2002;-1.0;-1.0;79660643274;Арбат;Филипповский переулок;Кропоткинская;Филипповский
3238;ID 438578;real_estate_agent;https://www.cian.ru/sale/flat/278191672/;Москва_и_др.;sale;flat;19;52;5;136.0;458088;62300000;2020;-1.0;-1.0;79850608501;Раменки;Мичуринский проспект;Раменки;
3239;Дмитрий Проворный;realtor;https://www.cian.ru/sale/flat/285339558/;Москва_и_др.;sale;flat;2;5;5;119.5;460251;55000000;1898;92.0;13.6;79660614584;Басманный;Чаплыгина;Чистые пруды;
3240;ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/278103329/;Москва_и_др.;sale;flat;1;5;5;90.0;221111;19900000;1928;62.4;8.0;79671668161;Пресненский;Анны Северьяновой;Улица 1905 года;
3241;KASKAD НЕДВИЖИМОСТЬ загородная;real_estate_agent;https://vidnoye.cian.ru/sale/flat/287729505/;Москва_и_др.;sale;flat;2;2;5;190.0;86842;16500000;2014;150.0;25.0;79660640753;;;;
3242;Moscow Estate;real_estate_agent;https://www.cian.ru/sale/flat/285435093/;Москва_и_др.;sale;flat;4;17;5;113.3;286849;32500000;1997;-1.0;-1.0;79850202858;Черемушки;Наметкина;Новые Черёмушки;
3243;НДВ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/268865389/;Москва_и_др.;sale;flat;4;9;5;127.0;133858;17000000;2000;64.0;26.0;79165727913;;;;
3244;МИР;real_estate_agent;https://www.cian.ru/sale/flat/281538090/;Москва_и_др.;sale;flat;1;12;5;101.8;185658;18900000;1979;70.2;8.4;79197669807;Восточное Дегунино;Дубнинская;Лианозово;
3245;Респект;real_estate_agent;https://ivanteyevka.cian.ru/sale/flat/270829617/;Москва_и_др.;sale;flat;1;2;5;109.9;39126;4300000;-1;73.0;15.0;79858934297;;;;
3246;Алексей Митрошин;realtor;https://www.cian.ru/sale/flat/278610209/;Москва_и_др.;sale;flat;3;15;5;99.4;325955;32400000;1952;76.1;8.6;79099089647;Дорогомилово;Бережковская набережная;Киевская;
3247;Астенс;real_estate_agent;https://odintsovo.cian.ru/sale/flat/286894579/;Москва_и_др.;sale;flat;18;18;5;140.8;170454;24000000;2019;78.7;-1.0;79670258057;;;Одинцово;
3248;ОГРК;real_estate_agent;https://vidnoye.cian.ru/sale/flat/286852383/;Москва_и_др.;sale;flat;2;3;5;100.0;155000;15500000;1952;40.0;7.0;79660530842;;;Домодедовская;
3249;ИНКОМ-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/284855869/;Москва_и_др.;sale;flat;4;10;5;145.1;150930;21900000;2000;79.1;31.3;79671668161;;;Медведково;
3250;Станислав Девятилов;realtor;https://www.cian.ru/sale/flat/287105619/;Москва_и_др.;sale;flat;14;15;5;105.3;242165;25500000;1998;-1.0;-1.0;79067626124;Выхино-Жулебино;Привольная;Жулебино;
3251;Елена Попова;realtor;https://www.cian.ru/sale/flat/287598452/;Москва_и_др.;sale;flat;4;17;5;112.0;267142;29920000;2009;70.0;10.0;79660591262;Солнцево;Главмосстроя;Говорово;
3252;Мой город;real_estate_agent;https://zvenigorod.cian.ru/sale/flat/266464945/;Москва_и_др.;sale;flat;4;4;5;170.0;64117;10900000;2005;-1.0;-1.0;79165367265;;;;
3253;Инвест МСК;real_estate_agent;https://www.cian.ru/sale/flat/268481174/;Москва_и_др.;sale;flat;4;5;5;188.1;98351;18500000;2004;-1.0;12.0;79169321003;;;;
3254;Анатолий Анищенко;realtor;https://www.cian.ru/sale/flat/272870561/;Москва_и_др.;sale;flat;12;13;5;130.0;163846;21300000;-1;80.0;11.0;79660560146;;;Румянцево;
3255;Ольга Оводова;realtor;https://www.cian.ru/sale/flat/277382334/;Москва_и_др.;sale;flat;10;16;5;111.5;201793;22500000;1982;80.0;10.2;79858614101;Западное Дегунино;Маршала Федоренко;Ховрино;
3256;Сергей Зуев;realtor;https://www.cian.ru/sale/flat/281319013/;Москва_и_др.;sale;flat;2;16;5;118.0;216101;25500000;2000;67.0;14.0;79660516396;Южное Бутово;Скобелевская;Улица Скобелевская;
3257;Роман Шилов;realtor;https://dzerzhinsky.cian.ru/sale/flat/286826451/;Москва_и_др.;sale;flat;16;18;5;183.0;136612;25000000;2014;118.0;18.0;79660610566;;;Котельники;
3258;Марина Алферова;realtor;https://odintsovo.cian.ru/sale/flat/270088769/;Москва_и_др.;sale;flat;4;4;5;260.0;107653;27990000;2011;140.0;18.0;79104019806;;;;
3259;ОГРК;real_estate_agent;https://balashikha.cian.ru/sale/flat/276227666/;Москва_и_др.;sale;flat;5;16;5;116.0;113793;13200000;2004;85.0;10.9;79660502664;;;Новокосино;
3260;Этажи Москва;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/284325400/;Москва_и_др.;sale;flat;1;14;5;147.3;108282;15950000;1999;95.3;16.1;79096869767;;;;
3261;Владис;real_estate_agent;https://www.cian.ru/sale/flat/283198907/;Москва_и_др.;sale;flat;6;14;5;117.5;212680;24990000;1996;90.0;8.3;79645672951;Печатники;Шоссейная;Депо;
3262;Елена Сергеева;realtor;https://www.cian.ru/sale/flat/278603571/;Москва_и_др.;sale;flat;1;12;5;100.3;224327;22500000;1983;60.5;17.3;79057185966;Кунцево;Ивана Франко;Рабочий посёлок;
3263;Мои Столицы - Центр;real_estate_agent;https://www.cian.ru/sale/flat/270692239/;Москва_и_др.;sale;flat;1;9;5;84.8;184905;15679999;1968;65.0;6.0;79660612090;Солнцево;50 лет Октября;Говорово;
3264;Анастасия Зеленская;realtor;https://www.cian.ru/sale/flat/277193275/;Москва_и_др.;sale;flat;9;17;5;120.0;266666;32000000;1998;-1.0;-1.0;79851630878;Лосиноостровский;Тайнинская;Медведково;
3265;CITY;real_estate_agent;https://reutov.cian.ru/sale/flat/287396057/;Москва_и_др.;sale;flat;2;25;5;128.0;140625;18000000;2018;60.2;15.0;79859294742;;;Новокосино;
